OCGHRL97,OCGHID97,OCGHSN97,Q6A1_1,Q6A1_2,Q6A1_3,Q6A1_4,Q6A1_5,Q6A1_6,Q6A1_7,Q6CHECK,Q6ACT_1,Q6MON_1B,Q6MON_1E,Q6TUE_1B,Q6TUE_1E,Q6WED_1B,Q6WED_1E,Q6THU_1B,Q6THU_1E,Q6FRI_1B,Q6FRI_1E,Q6SAT_1B,Q6SAT_1E,Q6SUN_1B,Q6SUN_1E,Q6MIN1,Q6MON_2B,Q6MON_2E,Q6TUE_2B,Q6TUE_2E,Q6WED_2B,Q6WED_2E,Q6THU_2B,Q6THU_2E,Q6FRI_2B,Q6FRI_2E,Q6SAT_2B,Q6SAT_2E,Q6SUN_2B,Q6SUN_2E,Q6MIN2,Q6ACT_2,Q6MON_3B,Q6MON_3E,Q6TUE_3B,Q6TUE_3E,Q6WED_3B,Q6WED_3E,Q6THU_3B,Q6THU_3E,Q6FRI_3B,Q6FRI_3E,Q6SAT_3B,Q6SAT_3E,Q6SUN_3B,Q6SUN_3E,Q6MIN3,Q6MON_4B,Q6MON_4E,Q6TUE_4B,Q6TUE_4E,Q6WED_4B,Q6WED_4E,Q6THU_4B,Q6THU_4E,Q6FRI_4B,Q6FRI_4E,Q6SAT_4B,Q6SAT_4E,Q6SUN_4B,Q6SUN_4E,Q6MIN4,Q6A2A,Q6A2B,Q6A2C,Q6A2D,Q6A2E,Q6A2F,Q6A2G,Q6A2H,Q6A2I,Q6A2J,Q6A2K,Q6A2L,Q6A2M,Q6A2N,Q6A2O,Q6A2P,Q6A3_1ST,Q6A3_2ND,Q6A3_3RD,Q6A3_4TH,Q6A4,Q6A5,Q6A6,Q6A7A,Q6A7B,Q6A7C,Q6A7D,Q6A7E,Q6A7F,Q6A7G,Q6A8A,Q6A8B,Q6A8C,Q6A8D,Q6A9,Q6A10A,Q6A10B,Q6A10C,Q6A10D,Q6A10E,Q6A10F,Q6A10G,Q6A10H,Q6A10I,Q6A11A,Q6A11B,Q6A11C,Q6A11D,Q6A12A,Q6A12B,Q6A12C,Q6A13A,Q6A13B,Q6A13C,Q6A14,Q6A15,Q6A16,Q6A17,Q6A18A,Q6A18B,Q6A18C,Q6A18D,Q6A18E,Q6A18F,Q6A18G,Q6A18H,Q6A18I,Q6A18J,Q6A19A,Q6A19B,Q6A19C,Q6A19D,Q6A19E,Q6A19F,Q6A19G,Q6A19H,Q6A19I,Q6A19J,Q6A19K,Q6A19L,Q6A19M,Q6A19N,Q6A19O,Q6A19P,Q6A19Q,Q6A19R,Q6A19S,Q6A19T,Q6A19U,Q6A19V,Q6A19W,Q6A19X,Q6A19Y,Q6A19Z,Q6A19AA,Q6A19BB,Q6A19CC,Q6A20A,Q6A20B,Q6A20C,Q6A20D,Q6A20E,Q6A20F,Q6A20G,Q6A20H,Q6A20I,Q6A20J,Q6A21A,Q6A21B,Q6A21C,Q6A21D,Q6A21E,Q6A21F,Q6A21G,Q6A21H,Q6A21I,Q6A22A,Q6A22B,Q6A22C,Q6A22D,Q6A22E,Q6A22F,Q6A23A,Q6A23B,Q6A23C,Q6A23D,Q6A23E,Q6A23F,Q6A24,Q6A25,Q6A26,Q6A27,Q6A28,Q6A29,Q6A30
3,1721,3,1,5,5,5,5,1,5,5,1,400,1230,9996,9996,400,1230,400,1230,9996,9996,1100,1930,900,1730,15,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,96,6,9996,9996,9996,9996,9996,9996,9996,9996,1800,2000,9996,9996,9996,9996,999,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,96,3,3,3,3,4,4,3,1,3,3,3,3,3,4,3,3,1,4,5,3,1,1,1,3,3,9,1,4,2,4,3,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,3,3,2,1,1,1,4,1,4,1,1,4,4,1,3,2,3,3,3,3,3,1,3,3,3,2,3,3,4,2,3,3,3,2,2,1,3,2,2,2,1,3,2,4,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,4,3,4,1,4,1,4,4,2,2,2,2,2,2,5,1,1,1,5,5,0
3,690,3,1,5,5,5,5,1,5,5,1,800,1700,800,1700,800,1700,800,1700,800,1700,9996,9996,9996,9996,5,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,96,6,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,530,1600,9996,9996,30,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,96,3,3,4,4,3,3,1,3,9,4,4,4,3,4,4,3,3,4,1,5,1,2,2,4,4,3,2,4,2,3,3,3,3,3,5,5,3,5,1,5,5,5,2,4,4,2,3,2,1,2,3,5,1,5,2,2,3,2,1,2,4,2,4,2,1,4,4,4,2,2,2,2,3,3,2,3,3,3,3,2,2,3,3,2,2,3,2,2,2,2,2,2,2,3,2,3,1,3,5,5,5,5,5,5,5,5,5,4,3,4,3,4,4,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,5,1,5,5,5,1,5
3,687,3,1,5,5,5,5,5,5,5,1,600,1400,600,1400,9996,9996,9996,9996,600,1400,600,1400,600,1400,30,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,96,0,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,96,2,2,2,1,2,2,2,1,3,3,3,2,3,3,2,3,3,4,5,1,1,2,1,4,4,4,1,4,1,4,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,1,1,5,2,1,1,4,1,4,1,1,4,4,4,4,1,3,4,4,4,4,4,4,4,4,1,1,4,4,1,3,3,3,1,1,1,4,1,1,4,1,4,1,5,5,5,5,5,5,5,5,5,5,3,4,4,4,4,4,4,4,4,4,1,4,2,4,4,1,1,1,1,1,1,5,1,5,5,5,5,0
3,687,4,1,5,5,5,5,5,5,5,1,600,1400,600,1400,9996,9996,9996,9996,600,1400,600,1400,600,1400,30,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,96,0,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,96,2,2,2,1,2,2,2,1,3,3,3,2,3,3,2,3,3,4,5,1,1,2,1,4,4,4,1,4,1,4,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,1,1,5,2,1,1,4,1,4,1,1,4,4,4,4,1,3,4,4,4,4,4,4,4,4,1,1,4,4,1,3,3,3,1,1,1,4,1,1,4,1,4,1,5,5,5,5,5,5,5,5,5,5,3,4,4,4,4,4,4,4,4,4,1,4,2,4,4,1,1,1,1,1,1,5,1,5,5,5,5,0
3,1487,4,1,5,5,5,5,5,1,5,1,630,1700,630,1700,630,1700,630,1700,630,1700,9996,9996,9996,9996,15,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,96,7,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,700,1000,700,1500,999,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,96,2,3,3,1,3,2,2,1,2,1,3,2,2,2,2,3,3,4,5,1,1,1,1,3,3,3,1,3,1,3,5,2,3,5,5,1,1,2,1,1,1,1,1,1,5,3,1,5,2,1,3,5,1,5,3,3,5,1,1,1,4,1,3,2,2,3,1,4,3,1,2,3,3,4,3,3,3,3,3,3,2,3,3,2,2,3,2,9,2,1,3,2,2,3,1,3,2,3,3,5,3,3,5,4,4,4,5,3,3,3,3,3,3,3,3,4,3,3,4,2,2,4,2,2,2,2,2,2,1,1,5,5,5,1,5
3,5256,3,1,5,5,5,5,5,5,5,1,545,1800,545,1800,545,1800,545,1815,545,1700,600,1000,9996,9996,20,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,96,0,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,96,2,3,2,4,3,3,1,1,9,3,4,4,4,4,4,4,1,3,5,4,1,2,2,2,3,3,2,3,1,2,2,1,1,1,5,5,5,1,2,1,5,5,5,5,1,1,1,4,1,1,1,5,1,5,4,4,6,3,1,1,4,1,3,1,1,4,2,3,4,1,4,4,4,4,1,2,2,4,3,1,1,4,3,3,2,2,1,3,3,2,2,1,1,1,1,4,1,3,5,5,5,3,4,5,5,5,5,3,3,2,2,3,4,4,4,4,4,4,4,4,4,4,3,1,1,1,2,2,1,1,5,5,5,1,5
3,5256,4,1,5,5,5,5,5,5,5,1,545,1800,545,1800,545,1800,545,1815,545,1700,600,1000,9996,9996,20,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,96,0,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,96,2,3,2,4,3,3,1,1,9,3,4,4,4,4,4,4,1,3,5,4,1,2,2,2,3,3,2,3,1,2,2,1,1,1,5,5,5,1,2,1,5,5,5,5,1,1,1,4,1,1,1,5,1,5,4,4,6,3,1,1,4,1,3,1,1,4,2,3,4,1,4,4,4,4,1,2,2,4,3,1,1,4,3,3,2,2,1,3,3,2,2,1,1,1,1,4,1,3,5,5,5,3,4,5,5,5,5,3,3,2,2,3,4,4,4,4,4,4,4,4,4,4,3,1,1,1,2,2,1,1,5,5,5,1,5
3,3651,3,1,5,5,1,5,1,5,5,1,9996,9996,800,1600,800,1730,800,1700,800,1730,800,1430,9996,9996,30,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,96,4,930,1130,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,30,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,96,2,2,1,1,2,3,3,4,2,3,3,3,3,3,3,3,9,9,9,9,2,2,1,3,3,3,1,3,2,3,2,2,3,2,5,4,3,3,1,1,5,3,3,3,5,5,5,5,1,1,4,1,1,5,4,4,3,2,2,1,4,1,4,1,2,4,4,4,2,4,3,2,4,4,4,4,3,2,9,2,2,9,4,3,3,3,2,9,1,1,3,3,2,3,2,9,2,5,5,5,5,5,5,3,5,5,5,2,3,3,4,4,4,4,4,4,4,2,4,3,3,4,1,1,2,2,9,9,5,1,5,5,5,5,0
3,5098,3,1,5,5,5,5,1,5,8,1,9999,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,96,6,9999,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,96,3,3,3,3,3,3,3,1,3,3,3,3,3,2,3,3,3,4,5,1,1,2,2,2,3,2,2,3,2,3,1,1,1,1,5,5,3,2,1,2,3,3,9,3,4,4,1,2,1,1,2,1,5,1,2,3,3,2,2,2,3,2,3,2,2,3,3,3,3,2,3,3,3,3,3,2,3,3,2,2,2,3,3,2,3,2,2,2,2,2,3,2,2,3,2,3,2,5,5,5,5,5,5,5,5,5,5,2,2,2,4,4,4,4,4,4,3,3,2,3,2,2,2,2,2,2,2,2,1,1,5,5,5,5,0
3,1293,3,1,5,1,5,5,1,5,5,1,800,1600,800,1000,800,1600,800,1600,800,1600,9996,9996,9996,9996,5,9996,9996,1300,1600,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,96,3,9996,9996,1000,1300,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,10,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,96,2,3,3,1,2,3,2,4,2,3,2,4,9,2,9,2,4,3,5,1,2,1,2,2,2,4,1,3,1,3,2,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,2,2,5,2,1,1,4,1,4,1,2,2,3,3,2,2,3,2,2,3,2,2,3,2,2,3,2,2,3,2,2,3,2,2,2,2,3,3,2,3,1,3,2,3,3,4,4,3,3,5,4,4,5,1,2,3,3,3,3,4,4,3,2,3,2,4,1,3,2,2,2,3,2,2,5,1,1,1,5,1,5
3,3434,3,1,5,1,5,5,1,5,5,1,9996,9996,9996,9996,9996,9996,630,1500,630,1500,9996,9996,9996,9996,10,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,96,3,9996,9996,630,1600,730,1700,9996,9996,9996,9996,9996,9996,9996,9996,10,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,96,1,1,1,1,1,1,9,2,9,9,3,3,3,1,1,3,3,5,4,1,1,2,1,1,3,3,1,2,1,2,5,3,2,5,5,2,1,5,2,2,3,2,1,2,4,3,2,2,2,1,2,1,1,1,3,3,3,1,1,2,4,2,3,2,2,3,3,3,3,2,2,3,2,3,3,2,3,3,2,2,2,3,4,2,2,2,3,1,2,2,3,1,1,2,2,3,2,3,4,5,5,5,5,4,3,4,5,2,3,3,4,2,2,2,3,3,3,3,4,3,2,4,2,3,2,2,2,2,5,1,5,5,5,1,5
3,150,3,1,5,5,5,5,5,5,5,1,600,1700,600,1700,600,1700,600,1700,600,1700,600,1700,9996,9996,30,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,96,0,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,96,2,2,2,1,2,2,2,1,2,3,3,3,9,2,2,3,4,3,5,1,2,2,2,3,3,3,2,3,2,3,3,1,1,3,5,3,2,4,2,3,4,3,4,3,3,2,3,2,2,1,2,5,1,5,3,4,6,2,2,2,3,2,3,2,2,3,3,3,3,3,2,2,3,3,2,3,2,3,3,2,2,2,4,2,2,3,9,2,2,2,3,2,2,2,2,3,2,3,3,5,5,4,5,4,4,5,5,3,3,3,4,4,4,4,4,4,3,2,3,3,3,3,2,2,2,2,2,2,1,5,0,0,0,5,0
