TDFOREL,TDFOID01,TDFOSN01,Q28_WD,Q28_WE,Q28WDDAY,Q28WEDAY,Q28WDIWM,Q28WDIWD,Q28WDIWY,Q28WEIWM,Q28WEIWD,Q28WEIWY,Q28WDSAQ,Q28WESAQ,Q28WDFTF,Q28WEFTF,Q28WDTEL,Q28WETEL,Q28R_CH,Q28R_PCG,Q28WD_A1,Q28WE_A1,Q28WD_A2,Q28WE_A2,Q28WDA3M,Q28WDA3D,Q28WDA3Y,Q28WEA3M,Q28WEA3D,Q28WEA3Y,Q28WDA4M,Q28WDA4D,Q28WDA4Y,Q28WEA4M,Q28WEA4D,Q28WEA4Y,Q28WDA5,Q28WEA5,Q28WDA6,Q28WEA6,Q28WDA6A,Q28WEA6A,Q28WDA6B,Q28WEA6B,Q28WDA6C,Q28WEA6C,Q28WDA6D,Q28WEA6D,Q28WDA6E,Q28WEA6E,Q28WDA7,Q28WEA7,Q28WDA7A,Q28WEA7A,Q28WDA7B,Q28WEA7B,Q28WDA8,Q28WEA8,Q28WDA8A,Q28WEA8A,Q28WDA8B,Q28WEA8B,Q28WDA8C,Q28WEA8C,Q28WDA8D,Q28WEA8D,Q28WDA8E,Q28WEA8E,Q28WDA9,Q28WEA9,Q28WDA9A,Q28WEA9A,Q28WDA9B,Q28WEA9B
2,301,6,1,1,2,1,1,10,2003,1,10,2003,1,1,1,1,5,5,1,5,3,2,3,2,1,6,2003,1,5,2003,1,6,2003,1,6,2003,45,40,5,5,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,1,5,25200,0,66600,0,5,9,0,0,0,0,5,5,0,0,0,0
2,309,3,1,1,3,1,2,4,2003,2,4,2003,1,1,1,1,5,5,5,1,1,1,1,2,1,28,2003,1,26,2003,1,29,2003,1,27,2003,25,45,5,5,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,1,5,28800,0,75600,0,5,9,0,0,0,0,5,5,0,0,0,0
2,309,4,1,1,3,1,2,4,2003,2,4,2003,1,1,1,1,5,5,5,1,1,1,1,2,1,28,2003,1,26,2003,1,29,2003,1,27,2003,25,30,5,5,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,1,5,28800,0,75600,0,5,9,0,0,0,0,5,5,0,0,0,0
2,318,3,1,1,5,1,12,9,2002,12,9,2002,5,5,1,1,5,5,1,1,2,2,2,4,12,5,2002,12,8,2002,12,5,2002,12,8,2002,10,20,1,5,26400,0,53400,0,5,0,0,0,0,0,5,5,0,0,0,0,1,5,21600,0,52200,0,5,9,0,0,0,0,5,5,0,0,0,0
2,323,3,1,1,2,7,1,29,2003,1,29,2003,1,1,5,5,1,1,1,5,3,3,1,2,1,27,2003,1,25,2003,1,27,2003,1,27,2003,15,15,1,1,21600,21600,82800,82800,9,9,0,0,0,0,5,5,0,0,0,0,1,1,21600,21600,82800,82800,9,9,0,0,0,0,5,5,0,0,0,0
2,323,4,1,1,2,7,1,29,2003,1,29,2003,1,1,5,5,1,1,1,5,2,2,3,1,1,27,2003,1,25,2003,1,27,2003,1,26,2003,15,15,1,1,21600,21600,82800,82800,5,5,0,0,0,0,5,5,0,0,0,0,1,1,21600,21600,82800,82800,5,5,0,0,0,0,5,5,0,0,0,0
2,333,3,1,1,4,1,12,10,2002,12,10,2002,5,5,1,1,5,5,1,5,3,3,2,2,99,99,9999,12,8,2002,99,99,9999,12,10,2002,999,15,1,5,28800,0,61200,0,5,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,333,4,1,1,4,1,12,10,2002,12,10,2002,5,5,1,1,5,5,1,5,3,3,3,3,12,4,2002,12,8,2002,12,10,2002,12,10,2002,15,25,1,5,28800,0,63000,0,5,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,354,4,1,1,2,1,1,2,2003,1,2,2003,5,5,1,1,5,5,1,5,3,3,3,3,12,30,2002,12,29,2002,1,1,2003,1,1,2003,30,30,5,5,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,1,1,99999,99999,54000,54000,5,5,0,0,0,0,5,5,0,0,0,0
2,359,3,1,1,3,7,1,29,2003,1,29,2003,5,5,1,1,5,5,1,1,1,3,1,2,1,21,2003,1,18,2003,1,21,2003,1,29,2003,999,15,5,5,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,1,5,28800,0,57600,0,5,9,0,0,0,0,5,5,0,0,0,0
